beh,edist,repeated
3.094843091,2.957494044,0
3.089424428,2.889324279,0
2.996261687,2.957451799,0
3.459686188,2.968494013,0
2.985553414,2.945774803,0
4.303850679,2.963194983,0
3.926796307,2.897901871,0
4.125759071,2.913222835,0
4.474339259,2.91840152,0
4.522097786,2.973663104,0
4.190911606,2.913021206,0
3.303841573,2.930835301,0
3.613293821,2.965417102,0
3.082968689,3.017646932,0
3.407007354,2.956944717,0
3.503001957,2.903342971,0
3.416732521,2.996821903,0
3.276931048,4.309152779,0
3.589511811,4.352588577,0
3.492948445,4.334147834,0
3.356489351,4.309781279,0
3.575936856,4.277235593,0
3.268687998,4.29700467,0
3.256414475,4.192330904,0
4.027660363,4.190695611,0
3.591892245,4.244691645,0
3.568492339,4.218997024,0
3.899075511,4.200308519,0
3.650135866,4.210068176,0
4.220389842,4.50010553,0
4.217795246,4.438422609,0
4.021345852,4.390197647,0
3.82926253,4.457019939,0
3.539406279,4.518383674,0
4.038395125,4.487526114,0
3.819107314,4.0860743,0
3.246673119,4.094636265,0
2.964242253,4.162640274,0
5.908729712,4.155236562,0
4.81678055,4.120691661,0
3.111184015,4.173374606,0
5.071854552,3.886601576,0
3.778830328,3.849446561,0
2.78594589,3.830376288,0
3.264224571,3.847197759,0
5.530492222,3.833904368,0
3.558227701,3.783707069,0
3.419077929,3.916260596,0
3.797837426,3.959706395,0
3.517821857,3.889670071,0
4.605535645,3.891878365,0
4.380443122,3.928613936,0
3.58535968,3.933678273,0
4.518847392,5.070044438,0
4.405429512,5.022482696,0
4.558527514,5.050700261,0
5.416464876,5.086271566,0
5.132509081,5.022116216,0
5.397170438,5.069959814,0
4.489086548,4.921450311,0
5.001853293,4.891617901,0
5.290504134,4.833101868,0
5.522196351,4.83982638,0
5.223636008,4.852518968,0
5.053553038,4.823713027,0
4.57778868,5.119377624,0
4.921261666,5.163038686,0
4.583097699,5.176840353,0
5.098904423,5.151885211,0
5.038566411,5.126770263,0
5.210268768,5.125812611,0
3.150765985,2.686325577,0
2.909207209,2.710997166,0
2.969751025,2.731898764,0
3.445947105,2.772560981,0
3.301560791,2.724714238,0
3.756057979,3.038721791,0
4.005166988,2.988138267,0
3.385054175,2.945134837,0
4.255927849,2.983583742,0
4.668587469,3.028517153,0
