Condition,LD1,LD2,LD3,LD4,LD5,LD6,LD7
Team Only,2.787013733,-9.922967703,5.092325822,-1.577738772,2.810131575,0.855478792,-0.503216141
Team Only,1.802133347,-10.94293337,5.422463146,0.273239436,2.206488089,1.141523654,-0.00942125
Team Only,-2.924465847,1.072448187,1.908576466,1.110631235,3.598725298,-1.639684644,-5.052363403
Team Only,-2.20026805,-0.038067715,0.950905524,1.079279504,2.731319477,-2.217209043,-0.870919858
Team Only,-2.888763548,1.228345085,0.718210662,-0.008279336,4.176191648,-1.020840525,-0.92289784
Team Only,-0.928170959,-0.08198419,0.177183088,1.10938397,3.557193123,-2.280290125,-3.927311224
Team Only,-1.881816784,2.093101354,-1.651699091,-1.069959064,6.012018642,-2.611966725,-4.204867782
Team Only,-3.645575086,1.172171472,0.206964965,1.147259735,2.922044098,-0.290471339,-4.396659465
Team Only,-5.70797414,-1.414554651,-1.961916543,-6.184483874,0.223415618,-2.310619823,1.464036661
Team Only,-6.440261275,-0.534429237,-2.429730554,-7.009536728,-0.248719502,-2.147558647,3.759416663
Team Only,-6.428294541,-0.004097706,1.296411155,-4.390107326,0.41504973,-3.770008017,2.12301342
Team Only,-5.430662702,-0.581344119,0.205228144,-7.813942177,0.070415779,-2.926147024,1.815187406
Team Only,-6.557100062,-1.898607147,-0.578254118,-5.604854124,0.68936021,-4.377529296,1.729444141
Team Only,-5.774986272,-1.837749804,0.222153222,-7.57919752,1.092754803,-2.431119186,3.820560039
Team Only,-0.75972949,3.005251269,-0.542958598,0.796772715,5.359026191,2.070315627,0.687255277
Team Only,-0.484399146,1.384059929,-3.029295915,-1.512713844,3.26849074,1.906277013,-1.773736265
Team Only,-0.606735045,2.75826634,-0.533286868,0.124915968,3.544440085,0.321391117,-0.456811994
Team Only,0.228260718,2.028690823,-0.343168138,1.032503605,3.747708667,-0.079640022,0.180154857
Team Only,-1.469281664,2.374085407,-1.822738897,-0.461709573,3.362310134,0.399104134,0.430573759
Team Only,0.450456693,2.9785481,-2.539329955,-0.306136765,3.57964658,3.278692745,-0.619720207
Team Only,5.065258709,-1.37835465,0.187528296,-6.474610043,0.231491293,1.946023623,0.889260536
Team Only,6.015524913,-1.909799799,1.27983775,-4.962499447,-1.625271787,3.653421861,3.491256068
Team Only,5.248596202,-1.939609955,-0.51034311,-4.205133713,-1.610443419,3.124316413,0.796010695
Team Only,5.224576086,-2.114216584,2.039615771,-6.861119225,0.661489954,0.307807922,1.607766022
Team Only,6.620636722,-0.084967032,1.298214118,-5.511672922,-1.644383742,1.239226026,1.624126369
Team Only,5.893795152,-4.372258232,1.484699516,-4.524300563,-1.474219329,1.05440084,2.036761815
Team Only,1.506939792,5.085747657,5.01218273,6.306169222,-1.932485096,-0.093552127,0.421161874
Team Only,2.287907646,5.377857847,6.708468066,8.68729837,-3.434665956,0.571942194,0.426723209
Team Only,2.453321958,4.783093359,4.574123749,5.495129599,-1.896975472,0.251389064,1.256384633
Team Only,1.538158894,4.711100688,5.902808202,4.217869732,-1.428091668,0.334529309,2.239324882
Team Only,1.582771838,5.609339596,5.065220789,5.760200318,-2.061267106,-1.003923886,0.331869087
Team Only,0.388416351,4.933043178,4.481014718,5.752499713,-2.715653293,0.066604041,-0.175958337
Team Only,-1.559912617,0.79216445,2.667332615,-3.52895662,4.815863732,1.644874843,-0.002289407
Team Only,1.287035609,2.329595771,1.298523891,-3.186753118,6.58650988,3.281801652,0.901579614
Team Only,-0.88986663,1.947239437,2.384344856,-1.936451353,3.828305404,1.317385046,-0.962107756
Team Only,-0.238825813,3.000600746,4.432392961,-2.107684969,3.963946448,3.702746595,-0.52916827
Team Only,0.112806033,2.336077019,1.857710971,-3.933891161,2.656353973,3.506367191,0.827667817
Team Only,-0.086799638,1.970537892,3.309901905,-3.664753129,3.358437701,2.3161944,1.17008878
Team Only,-0.412720149,-3.02091475,-2.494239216,-0.794314729,1.448493072,-3.757616002,-1.285135977
Team Only,1.020750717,-1.590989735,-2.47107593,-0.675791518,1.61747037,-3.925791371,-2.762495067
Team Only,1.171491157,-1.863509857,-3.40354282,0.100481621,0.550709997,-3.291923272,0.214313143
Team Only,2.177338526,-3.527899094,-2.25687981,1.083482735,1.03930803,-3.122359985,-0.215143768
Team Only,1.801595253,0.711648792,-1.551797437,0.281999739,-0.458996093,-4.116715353,-0.661732565
Team Only,-3.484253011,-0.25321154,-1.797403655,0.998322496,1.195902946,-3.755718405,-0.925053204
Team Only,-1.948423999,-2.412010132,-1.586826597,-4.257760977,1.366520973,-3.318353271,-0.109895827
Team Only,-2.509252917,-3.3299056,-1.939911463,-4.435275243,1.312739716,-2.54276569,-1.852538075
Team Only,-1.320856166,-4.850971546,-1.0428261,-4.282346329,2.21408583,-3.03838115,-1.068171105
Team Only,-3.706292471,-3.438999892,0.759867584,-5.718617173,4.079286672,-0.438675846,-0.20240855
Team Only,-0.007034359,-4.316173584,-1.61077707,-4.188830191,1.353687657,-0.860822281,-0.963134623
Team Only,-1.295792364,-3.704922411,0.322022246,-4.040247951,4.254944022,0.521739941,-1.889446128
Team Only,2.846645496,-5.595719534,-4.405045482,1.683811952,2.523642001,-3.019786448,-1.212790398
Team Only,4.064693363,-5.234972941,-2.902779742,3.35680174,1.954895387,-3.050031677,-0.124705935
Team Only,3.633453416,-6.388690242,-3.149945603,1.30952608,-0.536683915,-4.845597487,0.05161586
Team Only,3.851028448,-7.266846845,-3.968740506,1.401526297,1.151188737,-3.956439541,-0.141931193
Team Only,2.4635828,-7.164968659,-2.668033454,2.443591398,1.656446925,-4.674322959,-0.118010798
Team Only,3.380988488,-6.629064343,-2.643218887,1.112514178,-0.968096136,-4.514301844,-0.340614198
Team Only,2.704383553,-1.914584392,0.758764191,-1.941323031,4.789420862,-0.346257067,1.212747972
Team Only,0.816386371,-2.94754648,0.270381205,-2.340218083,1.49084937,-0.647294771,1.434247416
Team Only,-2.011664705,-1.897977061,-1.09390952,-1.264926873,3.053747184,0.12496195,0.53116394
Team Only,1.737461235,-2.21035336,2.5382861,-2.035562116,0.776221132,0.646281271,1.54790316
Team Only,0.528176891,-3.012107143,1.01292775,-3.996322224,2.29021124,-0.580810967,-0.344681574
Team Only,1.268395696,-2.357191101,-0.4793625,-2.45437607,2.275552387,0.675098383,1.930618313
Team Only,-1.218285429,-0.332571848,-4.093421086,-0.597941464,0.787726261,0.046687725,1.37296318
Team Only,-0.62470609,-0.295517765,-2.364241768,-0.517070075,1.939583896,1.447439278,0.177709572
Team Only,0.594920006,0.490998588,-3.063775646,-1.139808087,0.096205957,-1.130791738,0.328064699
Team Only,-1.557966471,0.95977778,-2.232102063,-1.591019364,0.90995742,1.610810651,0.467788602
Team Only,-2.203273579,-0.023887255,-2.926759302,-0.503797807,1.576305389,0.569497421,0.405098207
Team Only,-2.494649693,-0.164054308,-2.52807412,-0.063646468,1.359740744,-0.932063651,2.387957887
Team Only,2.845408348,4.295760289,-1.175070695,5.080745741,-4.623003575,0.666811827,2.013057473
Team Only,0.847184925,7.383706428,-1.042671555,6.433195896,-4.455519645,-0.641870345,2.723418969
Team Only,3.948842465,6.032181025,-0.454642253,5.51581848,-6.272448733,1.852127192,1.395962627
Team Only,2.287981551,6.837164444,0.108643851,5.660786738,-4.717745299,0.159282077,2.497499453
Team Only,2.913136021,6.711776902,1.328555641,4.632918955,-4.638768832,-0.133277464,2.457316977
Team Only,0.837174157,6.025835643,-0.175400339,5.312149546,-5.461705253,0.859723303,1.344463456
Team Only,0.375573609,2.645554158,-0.785851182,-2.368729113,2.517082432,2.87030406,-4.695151342
Team Only,0.554951101,1.665173925,1.952530146,-2.421594048,1.471176477,2.579905292,-5.392916611
Team Only,0.69606101,1.992304257,0.072480925,-2.199966335,2.637533917,2.150396405,-6.14656268
Team Only,0.82158726,1.04570437,0.47948556,-2.718564376,2.965861679,2.625141238,-4.390825334
Team Only,-0.223384922,2.992212966,-0.052580472,-1.691394596,3.446134214,0.609681682,-5.187624286
Team Only,8.337212118,-11.17628774,-0.529961856,-2.315592518,0.204071944,1.279870111,2.146471004
Team Only,9.405740443,-11.02757677,-2.757645246,-0.942227929,1.192626122,0.743134742,2.636370283
Team Only,8.649823499,-11.63252916,-0.405811354,-2.94262305,1.611387827,0.348498255,0.384277408
Team Only,6.362150181,-10.56287575,-0.805808012,0.223620677,0.440515008,0.115514729,1.322948174
Team Only,6.244697487,-11.58415493,-2.734697114,0.914836198,-0.327130611,-0.297833665,2.86120492
Flow Only,3.315759842,7.38703647,-8.395685943,-1.300821609,-9.089890331,-3.720913531,-5.301910391
